32,Fri Jul 29 10:29:26 UTC 2011,actioncreatesubjectDistributionListconditions,true,新建,1,7,Fri Jul 29 10:29:26 UTC 2011
33,Fri Jul 29 10:29:26 UTC 2011,actionreadsubjectDistributionListconditions{:org_id => user.current_ability_org_ids},true,查看,1,7,Fri Jul 29 10:29:26 UTC 2011
34,Fri Jul 29 10:29:26 UTC 2011,actionexportsubjectTransitInfoconditions,true,导出,1,8,Fri Jul 29 10:29:26 UTC 2011
35,Fri Jul 29 10:29:26 UTC 2011,actioncreatesubjectTransitInfoconditions,true,新建,1,8,Fri Jul 29 10:29:26 UTC 2011
36,Fri Jul 29 10:29:26 UTC 2011,actionreadsubjectTransitInfoconditions{:org_id => user.current_ability_org_ids},true,查看,1,8,Fri Jul 29 10:29:26 UTC 2011
37,Fri Jul 29 10:29:26 UTC 2011,actionprint_deliversubjectDeliverInfoconditions,true,打印提货,1,9,Fri Jul 29 10:29:26 UTC 2011
38,Fri Jul 29 10:29:26 UTC 2011,actionprintsubjectDeliverInfoconditions,true,仅打印提货单,1,9,Fri Jul 29 10:29:26 UTC 2011
39,Fri Jul 29 10:29:26 UTC 2011,actionexportsubjectDeliverInfoconditions,true,导出,1,9,Fri Jul 29 10:29:26 UTC 2011
40,Fri Jul 29 10:29:26 UTC 2011,actioncreatesubjectDeliverInfoconditions,true,新建,1,9,Fri Jul 29 10:29:26 UTC 2011
41,Fri Jul 29 10:29:26 UTC 2011,actionreadsubjectDeliverInfoconditions{:org_id => user.current_ability_org_ids },true,查看,1,9,Fri Jul 29 10:29:26 UTC 2011
42,Fri Jul 29 10:29:26 UTC 2011,actionbatch_deliversubjectDeliverInfoconditions,true,批量提货,1,9,Fri Jul 29 10:29:26 UTC 2011
43,Fri Jul 29 10:29:27 UTC 2011,actionexportsubjectTransitDeliverInfoconditions,true,导出,1,10,Fri Jul 29 10:29:27 UTC 2011
44,Fri Jul 29 10:29:27 UTC 2011,actioncreatesubjectTransitDeliverInfoconditions,true,新建,1,10,Fri Jul 29 10:29:27 UTC 2011
45,Fri Jul 29 10:29:27 UTC 2011,actionreadsubjectTransitDeliverInfoconditions{:org_id => user.current_ability_org_ids},true,查看,1,10,Fri Jul 29 10:29:27 UTC 2011
46,Fri Jul 29 10:29:27 UTC 2011,actioninvalidatesubjectReturnBillconditions{:state => 'billed'},true,票据作废,1,11,Fri Jul 29 10:29:27 UTC 2011
47,Fri Jul 29 10:29:27 UTC 2011,actionexportsubjectReturnBillconditions,true,导出,1,11,Fri Jul 29 10:29:27 UTC 2011
