19,Fri Jul 29 10:29:28 UTC 2011,"turnover_chart_carrying_bills_path(""search[type_in]"" => [""ComputerBill"",""HandBill"",""ReturnBill""],""search[bill_date_gte]"" => Date.today.beginning_of_day,""search[bill_date_lte]"" => Date.today.end_of_day)",true,1,日营业额统计图,2,Fri Jul 29 10:29:28 UTC 2011
20,Fri Jul 29 10:29:28 UTC 2011,"rpt_turnover_carrying_bills_path(""search[type_in]"" => [""ComputerBill"",""HandBill"",""ReturnBill""],""search[bill_date_gte]"" => Date.today.beginning_of_month,""search[bill_date_lte]"" => Date.today.end_of_month)",true,1,月营业额统计,2,Fri Jul 29 10:29:28 UTC 2011
21,Fri Jul 29 10:29:28 UTC 2011,"simple_search_carrying_bills_path(:rpt_type => ""rpt_return_no_ship"",:show_fields =>"".stranded_days"",:hide_fields => "".insured_fee"",""search[state_eq]"" => ""billed"",""search[type_eq]"" => ""ReturnBill"",:sort => ""carrying_bills.bill_date asc,carrying_bills.goods_no"",:direction => ""asc"" )",true,1,退货未发票据统计,2,Fri Jul 29 10:29:28 UTC 2011
22,Fri Jul 29 10:29:28 UTC 2011,sum_goods_fee_inout_carrying_bills_path,true,1,代收货款收入/支出统计,2,Fri Jul 29 10:29:28 UTC 2011
23,Fri Jul 29 10:29:28 UTC 2011,new_settlement_path,true,1,结算员交款清单,3,Fri Jul 29 10:29:28 UTC 2011
24,Fri Jul 29 10:29:28 UTC 2011,new_refound_path,true,1,返款清单管理,3,Fri Jul 29 10:29:28 UTC 2011
25,Fri Jul 29 10:29:29 UTC 2011,remittances_path,true,1,汇款记录,3,Fri Jul 29 10:29:29 UTC 2011
26,Fri Jul 29 10:29:29 UTC 2011,"receive_refounds_path(""search[state_eq]"" => ""refunded"")",true,1,收款清单管理,3,Fri Jul 29 10:29:29 UTC 2011
27,Fri Jul 29 10:29:29 UTC 2011,cash_payment_lists_path,true,1,现金-代收货款支付,3,Fri Jul 29 10:29:29 UTC 2011
28,Fri Jul 29 10:29:29 UTC 2011,transfer_payment_lists_path,true,1,转账-代收货款支付,3,Fri Jul 29 10:29:29 UTC 2011
29,Fri Jul 29 10:29:29 UTC 2011,new_cash_pay_info_path,true,1,客户提款-现金,3,Fri Jul 29 10:29:29 UTC 2011
30,Fri Jul 29 10:29:30 UTC 2011,new_transfer_pay_info_path,true,1,客户提款-转账,3,Fri Jul 29 10:29:30 UTC 2011
31,Fri Jul 29 10:29:30 UTC 2011,post_infos_path,true,1,客户提款结算清单,3,Fri Jul 29 10:29:30 UTC 2011
